IDFuncionario,DataContratacao,Gênero,Etinia,AgeGroup,Cargo,Departamento,SiteID
EMP-00001,2023-07-26,Masculino,Indígena,18-25,Especialista,Financeiro,S-005
EMP-00002,2023-06-16,Masculino,Parda,26-35,Gestor,Operações,S-002
EMP-00003,2023-07-09,Feminino,Amarela,46-60,Analista,Engenharia,S-003
EMP-00004,2023-12-17,Feminino,Parda,18-25,Especialista,Financeiro,S-002
EMP-00005,2024-04-08,Feminino,Indígena,18-25,Analista,Engenharia,S-004
EMP-00006,2024-07-18,Feminino,Amarela,26-35,Especialista,Financeiro,S-001
EMP-00007,2024-06-07,Feminino,Indígena,46-60,Gestor,Engenharia,S-001
EMP-00008,2024-12-19,Feminino,Preta,36-45,Analista,Engenharia,S-004
EMP-00009,2024-12-05,Masculino,Parda,26-35,Analista,Operações,S-005
EMP-00010,2023-10-15,Feminino,Amarela,46-60,Gestor,Engenharia,S-002
EMP-00011,2024-09-18,Feminino,Preta,36-45,Analista,Sustentabilidade,S-002
EMP-00012,2023-06-04,Masculino,Preta,36-45,Especialista,Sustentabilidade,S-003
EMP-00013,2024-10-20,Feminino,Indígena,46-60,Gestor,Financeiro,S-002
EMP-00014,2023-09-13,Feminino,Parda,36-45,Analista,Financeiro,S-001
EMP-00015,2023-07-23,Masculino,Parda,46-60,Gestor,RH,S-004
EMP-00016,2024-10-08,Masculino,Indígena,18-25,Gestor,Operações,S-004
EMP-00017,2023-06-24,Masculino,Branca,46-60,Analista,Engenharia,S-002
EMP-00018,2024-02-12,Masculino,Indígena,18-25,Gestor,Operações,S-004
EMP-00019,2023-07-21,Feminino,Preta,46-60,Especialista,Engenharia,S-005
EMP-00020,2024-03-01,Masculino,Parda,46-60,Gestor,RH,S-003
EMP-00021,2024-03-03,Feminino,Parda,18-25,Gestor,Operações,S-002
EMP-00022,2024-03-14,Feminino,Preta,26-35,Analista,RH,S-002
EMP-00023,2024-09-09,Feminino,Amarela,46-60,Gestor,RH,S-003
EMP-00024,2023-02-12,Masculino,Preta,36-45,Especialista,Financeiro,S-002
EMP-00025,2023-05-05,Feminino,Preta,36-45,Especialista,Operações,S-001
EMP-00026,2023-03-22,Feminino,Parda,18-25,Analista,Engenharia,S-002
EMP-00027,2024-11-07,Feminino,Parda,18-25,Especialista,Operações,S-003
EMP-00028,2023-12-02,Masculino,Parda,18-25,Analista,Operações,S-005
EMP-00029,2023-01-23,Masculino,Preta,46-60,Analista,RH,S-003
EMP-00030,2023-10-29,Masculino,Indígena,18-25,Analista,Operações,S-004
EMP-00031,2024-04-03,Feminino,Preta,18-25,Analista,Operações,S-005
EMP-00032,2023-09-25,Feminino,Branca,26-35,Gestor,Financeiro,S-005
EMP-00033,2024-12-25,Masculino,Amarela,36-45,Analista,Operações,S-002
EMP-00034,2024-12-12,Feminino,Indígena,46-60,Especialista,Operações,S-002
EMP-00035,2023-01-14,Masculino,Parda,18-25,Analista,RH,S-004
EMP-00036,2023-07-22,Masculino,Branca,36-45,Analista,Sustentabilidade,S-003
EMP-00037,2023-03-04,Feminino,Indígena,46-60,Especialista,Engenharia,S-002
EMP-00038,2023-08-07,Feminino,Preta,46-60,Especialista,Operações,S-004
EMP-00039,2024-02-24,Masculino,Parda,18-25,Especialista,Engenharia,S-001
EMP-00040,2024-08-12,Feminino,Preta,18-25,Analista,Engenharia,S-005
EMP-00041,2023-10-16,Masculino,Amarela,36-45,Gestor,Engenharia,S-002
EMP-00042,2024-05-03,Masculino,Preta,46-60,Gestor,Financeiro,S-002
EMP-00043,2023-12-29,Feminino,Preta,26-35,Analista,Financeiro,S-004
EMP-00044,2024-02-22,Feminino,Indígena,26-35,Analista,Engenharia,S-001
EMP-00045,2023-05-23,Masculino,Indígena,46-60,Analista,Financeiro,S-005
